,year,km_driven,owner,seller_type,seats,fuel,transmission,mileage,engine,max_power,selling_price
1639,2014.0,160000.0,First Owner,Individual,7.0,Diesel,Manual,14.95,2489.0,93.7,3755.75
1640,2010.0,100875.0,First Owner,Individual,8.0,Diesel,Automatic,11.79,2179.0,120.0,7269.2
1641,2018.0,20000.0,First Owner,Individual,5.0,Petrol,Manual,21.4,1197.0,83.1,6784.59
1642,2016.0,30000.0,First Owner,Individual,5.0,Petrol,Manual,20.85,1197.0,83.14,6057.67
1645,2015.0,25000.0,Second Owner,Individual,5.0,Petrol,Manual,20.85,1197.0,83.14,5270.16
1646,2015.0,100000.0,First Owner,Individual,5.0,Petrol,Automatic,16.9,1197.0,81.86,4846.14
1647,2015.0,110000.0,First Owner,Individual,5.0,Diesel,Manual,26.59,1248.0,74.0,5694.21
1648,2015.0,60000.0,Third Owner,Individual,5.0,Diesel,Manual,20.45,1461.0,83.8,5815.36
1649,2008.0,128000.0,First Owner,Individual,5.0,Petrol,Manual,0.0,1086.0,62.0,1272.11
1650,2017.0,120000.0,First Owner,Individual,5.0,Diesel,Manual,27.28,1047.0,69.0,3937.48
1652,2020.0,5000.0,First Owner,Individual,5.0,Petrol,Automatic,20.7,1197.0,81.86,8177.85
1653,2009.0,90000.0,Second Owner,Individual,5.0,Petrol,Manual,20.36,1197.0,78.9,2059.61
1654,2017.0,90000.0,First Owner,Individual,5.0,Diesel,Manual,19.67,1582.0,126.2,15144.17
1655,2012.0,144030.0,First Owner,Individual,5.0,Petrol,Manual,12.8,,,7269.2
1657,2016.0,29000.0,First Owner,Individual,5.0,Petrol,Manual,18.6,172.0,81.83,7874.97
1658,2007.0,,Second Owner,Individual,5.0,LPG,Manual,,1061.0,57.5,1272.11
1659,2009.0,176000.0,Second Owner,Individual,5.0,Diesel,Manual,17.0,1461.0,66.0,2423.07
1660,2013.0,150000.0,First Owner,Individual,5.0,Diesel,Manual,19.09,,,2423.07
1661,2016.0,90000.0,First Owner,Individual,8.0,Petrol,Manual,16.8,796.0,34.2,2665.37
1662,2014.0,70000.0,Second Owner,Individual,5.0,Petrol,Manual,15.04,1598.0,103.2,6057.67
1664,2018.0,5000.0,First Owner,Individual,5.0,Petrol,Manual,23.84,1199.0,84.0,5451.9
1665,,90000.0,,Individual,5.0,Diesel,Manual,16.52,1991.0,123.7,2544.22
1666,2011.0,89000.0,Second Owner,Individual,5.0,Diesel,Manual,21.1,1248.0,73.9,3271.14
1667,2006.0,88000.0,Second Owner,Individual,5.0,Diesel,Manual,16.8,1405.0,62.0,1332.69
1668,2015.0,30000.0,First Owner,Individual,5.0,Diesel,Manual,26.59,1248.0,74.0,5815.36
1669,2016.0,50000.0,Second Owner,Individual,5.0,Diesel,Automatic,26.59,1248.0,74.0,7874.97
1670,2013.0,80000.0,First Owner,Individual,5.0,Diesel,Manual,23.4,1248.0,74.0,5815.36
1671,2016.0,40000.0,First Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,8480.74
1672,2015.0,110000.0,Third Owner,Individual,7.0,Diesel,Manual,20.77,1248.0,88.76,7874.97
1673,2015.0,48000.0,Second Owner,Individual,5.0,Diesel,Manual,19.67,1582.0,126.2,15749.94
1674,2016.0,97000.0,First Owner,Individual,5.0,Diesel,Automatic,16.96,1968.0,138.03,16355.71
1675,2016.0,60000.0,First Owner,Individual,5.0,Diesel,Automatic,22.15,1498.0,108.6,12115.34
1676,2011.0,110000.0,Third Owner,Individual,5.0,Diesel,Automatic,0.0,2987.0,165.0,20596.07
1677,2018.0,12800.0,First Owner,Individual,5.0,Petrol,Automatic,17.8,1496.0,105.5,13084.57
1678,2012.0,40000.0,First Owner,Individual,5.0,Petrol,Manual,21.1,814.0,55.2,2059.61
1680,2014.0,25000.0,First Owner,Individual,5.0,Petrol,Manual,18.5,1197.0,85.8,4240.37
1682,2015.0,20000.0,First Owner,Individual,5.0,Diesel,Manual,20.4,1248.0,91.7,8480.74
1683,2018.0,17000.0,First Owner,Individual,5.0,Petrol,Manual,18.78,999.0,75.0,8214.2
1684,2015.0,15000.0,First Owner,Individual,5.0,Diesel,Manual,23.65,1248.0,88.5,9692.27
1685,2014.0,120000.0,Second Owner,Individual,5.0,Diesel,Manual,23.59,1364.0,67.04,4846.14
1686,2010.0,49000.0,First Owner,Individual,5.0,Petrol,Manual,18.5,1197.0,80.0,3634.6
1687,2016.0,29000.0,First Owner,Individual,5.0,Petrol,Manual,18.6,1197.0,81.83,6299.98
1688,2017.0,55000.0,First Owner,Individual,5.0,Diesel,Automatic,19.61,1461.0,108.5,10298.04
1690,2017.0,35000.0,First Owner,Individual,5.0,Diesel,Manual,21.5,1497.0,108.5,10055.73
1691,2018.0,5000.0,Second Owner,Individual,5.0,Petrol,Manual,20.63,1198.0,1129.95,5209.6
1692,2017.0,60000.0,First Owner,Individual,5.0,Diesel,Manual,22.77,1498.0,98.59,10298.04
1693,2017.0,70000.0,First Owner,Individual,5.0,Petrol,Manual,20.85,1197.0,83.14,7874.97
1694,2008.0,120000.0,Second Owner,Individual,5.0,Diesel,Manual,16.8,1493.0,110.0,1453.84
1695,2016.0,65100.0,Second Owner,Individual,7.0,Diesel,Manual,18.49,,2.57,8844.2
1697,2015.0,108000.0,First Owner,Individual,5.0,Diesel,Manual,21.19,1396.0,88.73,7269.2
1698,2019.0,15000.0,First Owner,Individual,5.0,Petrol,Manual,21.21,1197.0,81.8,6057.67
1699,2009.0,,First Owner,Individual,5.0,Petrol,Manual,,1086.0,62.1,1817.3
1700,2015.0,18500.0,First Owner,Individual,5.0,Petrol,Manual,20.51,998.0,67.04,4967.28
1701,2016.0,120000.0,First Owner,Individual,7.0,Diesel,Manual,18.49,1493.0,100.0,7572.09
1702,2015.0,15200.0,First Owner,Individual,5.0,Petrol,Manual,25.17,799.0,53.3,3513.45
1703,2015.0,35000.0,First Owner,Individual,7.0,Petrol,Manual,17.3,1497.0,117.3,6057.67
1704,2011.0,80000.0,First Owner,Individual,5.0,Diesel,Manual,22.32,1582.0,126.32,5754.79
1705,2013.0,70000.0,First Owner,Individual,5.0,Petrol,Manual,21.1,814.0,55.2,2301.91
1706,2014.0,80000.0,Second Owner,Individual,7.0,Diesel,Manual,15.1,2179.0,140.0,9086.5
1707,2014.0,120000.0,Second Owner,Individual,5.0,Diesel,Manual,19.01,1461.0,108.5,6360.55
1708,2012.0,82000.0,Third Owner,Individual,5.0,Diesel,Manual,17.3,1998.0,163.7,5997.09
1709,2017.0,9000.0,First Owner,Dealer,5.0,Diesel,Automatic,13.6,1999.0,177.0,31802.76
1710,2019.0,20000.0,First Owner,Dealer,5.0,Petrol,Automatic,22.37,2487.0,214.56,62393.99
1712,2015.0,110000.0,First Owner,Individual,7.0,Diesel,Manual,14.1,2179.0,147.94,6094.02
1713,2019.0,20000.0,First Owner,Individual,5.0,Diesel,Automatic,18.0,1969.0,1866.96,46038.28
1714,2016.0,68089.0,First Owner,Trustmark Dealer,5.0,Petrol,Automatic,19.16,2494.0,157.7,24230.68
1715,2013.0,,First Owner,Trustmark Dealer,5.0,Petrol,Manual,,998.0,67.05,2725.95
1716,2018.0,38817.0,First Owner,Dealer,5.0,Diesel,Manual,27.39,1248.0,74.0,8965.35
1717,2016.0,56494.0,First Owner,Trustmark Dealer,5.0,Petrol,Manual,18.2,1199.0,88.7,6663.44
1718,2013.0,79328.0,Second Owner,Trustmark Dealer,7.0,Diesel,Manual,12.99,2494.0,100.6,9086.5
1719,2019.0,5621.0,First Owner,Trustmark Dealer,5.0,Petrol,Automatic,22.0,1197.0,81.8,7874.97
1721,2018.0,69779.0,First Owner,Dealer,5.0,Petrol,Automatic,22.0,1197.0,81.8,7269.2
1722,2017.0,56290.0,First Owner,Dealer,5.0,Diesel,Manual,24.0,1186.0,73.97,5451.9
1723,2019.0,7500.0,First Owner,Dealer,5.0,Diesel,Automatic,16.78,1995.0,1949.75,65422.83
1724,2019.0,8500.0,First Owner,Dealer,5.0,Diesel,Automatic,16.78,,,66634.36
1725,2019.0,7032.0,First Owner,Trustmark Dealer,5.0,Petrol,Automatic,19.0,1199.0,88.76,9437.85
1726,2016.0,11000.0,First Owner,Dealer,5.0,Petrol,Automatic,14.3,1598.0,103.5,7814.39
1727,2018.0,2000.0,First Owner,Dealer,5.0,Diesel,Automatic,16.8,1984.0,150.0,29985.46
1728,2010.0,60000.0,Second Owner,Individual,5.0,Petrol,Automatic,16.8,17696.0,118.0,3889.02
1729,2017.0,50000.0,First Owner,Individual,5.0,Petrol,Manual,17.71,1197.0,78.9,7087.47
1730,2011.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,20.0,1399.0,68.0,2725.95
1731,2017.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,25.8,1498.0,98.6,6057.67
1733,2016.0,70000.0,Second Owner,Individual,7.0,Diesel,Manual,24.52,1248.0,88.5,9159.2
1734,2014.0,50000.0,First Owner,Individual,5.0,Petrol,Manual,22.74,,,2907.68
1735,2012.0,120000.0,Second Owner,Individual,8.0,Petrol,Manual,19.7,,,969.23
1737,2018.0,25000.0,First Owner,Individual,7.0,Diesel,Manual,17.6,2179.0,147.94,15144.17
1738,2009.0,80000.0,Third Owner,Individual,7.0,Diesel,Manual,12.05,2179.0,120.0,3876.91
1739,2017.0,25000.0,First Owner,Individual,5.0,Petrol,Manual,18.9,1197.0,82.0,6178.81
1740,2019.0,15000.0,First Owner,Individual,5.0,Diesel,Manual,22.95,1248.0,74.0,7874.97
1741,2011.0,35000.0,Second Owner,Individual,5.0,Petrol,Manual,20.92,998.0,67.1,2544.22
1742,2008.0,80000.0,Second Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,1332.69
1743,2017.0,25000.0,First Owner,Individual,5.0,Diesel,Manual,21.5,1497.0,108.5,8056.7
1744,2017.0,52000.0,First Owner,Individual,5.0,Diesel,Manual,21.66,1498.0,108.62,6724.01
1745,2017.0,52000.0,First Owner,Individual,5.0,Diesel,Manual,21.66,1498.0,1610.16,
1746,2016.0,80000.0,First Owner,Individual,6.0,Diesel,Manual,25.32,,,4543.25
1749,2017.0,127000.0,First Owner,Individual,5.0,Diesel,Manual,28.4,1248.0,74.02,7329.78
1751,2017.0,70000.0,First Owner,Individual,7.0,Diesel,Manual,24.52,1248.0,88.5,9692.27
1752,2017.0,54000.0,First Owner,Individual,7.0,Diesel,Manual,16.0,2179.0,140.0,16052.82
1753,2011.0,120000.0,Second Owner,Individual,6.0,Diesel,Manual,10.5,2835.0,116.9,7572.09
1754,2011.0,116500.0,First Owner,Individual,5.0,Diesel,Manual,23.0,1396.0,90.0,4240.37
1755,2012.0,145000.0,Second Owner,Individual,8.0,Diesel,Manual,12.99,2494.0,100.0,7269.2
1756,2012.0,120000.0,First Owner,Individual,5.0,Petrol,Manual,18.5,1197.0,82.85,3634.6
1757,2011.0,120000.0,First Owner,Individual,7.0,Diesel,Manual,13.93,2179.0,138.1,2907.68
1758,2016.0,80000.0,First Owner,Individual,5.0,Diesel,Manual,25.83,1498.0,99.0,4567.48
1759,2013.0,140000.0,First Owner,Individual,7.0,Petrol,Manual,16.02,1373.0,93.7,5451.9
1760,2008.0,100000.0,Fourth & Above Owner,Individual,5.0,Petrol,Manual,13.9,,13.04,1938.45
1761,2019.0,,First Owner,Individual,5.0,Petrol,Manual,,1197.0,81.86,6360.55
1763,2010.0,120000.0,Third Owner,Individual,5.0,Diesel,Manual,18.3,1991.0,147.9,3271.14
1764,2016.0,145000.0,Second Owner,Individual,5.0,Diesel,Manual,23.59,1364.0,67.05,6905.74
1765,2011.0,90000.0,Second Owner,Individual,5.0,Diesel,Manual,20.0,1399.0,68.0,2725.95
1766,2019.0,90000.0,First Owner,Individual,5.0,Petrol,Manual,20.14,1197.0,81.86,7148.05
1767,2018.0,80000.0,First Owner,Individual,5.0,Diesel,Manual,17.1,1956.0,170.0,20293.19
1768,2019.0,33000.0,First Owner,Dealer,5.0,Petrol,Manual,19.4,1194.0,94.93,9692.27
1769,2014.0,13500.0,First Owner,Individual,5.0,Petrol,Manual,18.2,1199.0,82.4,5451.9
1770,2012.0,80000.0,First Owner,Individual,5.0,Diesel,Manual,17.0,1405.0,70.0,3634.6
1772,2013.0,58000.0,First Owner,Individual,5.0,Diesel,Manual,23.4,1248.0,74.0,6299.98
1773,2013.0,40000.0,First Owner,Individual,5.0,Petrol,Manual,21.1,814.0,55.2,2423.07
1774,2015.0,30000.0,First Owner,Individual,5.0,Petrol,Manual,17.4,,,8480.74
1775,2000.0,50000.0,Second Owner,Individual,4.0,Petrol,Manual,16.1,796.0,37.0,545.19
1776,2016.0,73000.0,First Owner,Individual,5.0,Diesel,Manual,25.83,1498.0,1960.87,5573.04
1777,2014.0,90000.0,Second Owner,Individual,5.0,Diesel,Manual,23.2,1248.0,73.94,3937.48
1778,2015.0,50000.0,Second Owner,Individual,5.0,Petrol,Manual,20.51,998.0,67.04,4240.37
1779,2011.0,80000.0,Third Owner,Individual,5.0,Diesel,Manual,22.32,1582.0,126.3,5330.75
1780,2011.0,70000.0,Second Owner,Individual,5.0,Diesel,Manual,21.9,1396.0,90.0,3876.91
1781,2011.0,41000.0,First Owner,Individual,5.0,Petrol,Manual,18.0,995.0,62.0,2047.49
1782,2013.0,50000.0,Fourth & Above Owner,Individual,5.0,Petrol,Manual,16.47,1198.0,73.9,4240.37
1784,2013.0,90000.0,Second Owner,Individual,5.0,Diesel,Manual,20.0,1399.0,68.1,3755.75
1786,2010.0,160500.0,Fourth & Above Owner,Individual,5.0,Diesel,Manual,13.5,2179.0,115.0,
1787,2015.0,30000.0,First Owner,Individual,5.0,Petrol,Automatic,19.12,1373.0,91.1,8299.01
1788,2014.0,132000.0,Second Owner,Individual,5.0,Diesel,Manual,19.72,1461.0,108.45,6784.59
1789,2013.0,120000.0,Third Owner,Individual,5.0,Diesel,Manual,22.9,1248.0,74.0,5694.21
1790,2011.0,80000.0,Second Owner,Individual,5.0,Petrol,Manual,16.2,1599.0,103.2,4603.83
1791,2015.0,57000.0,Second Owner,Individual,7.0,Diesel,Manual,15.4,1997.0,120.0,8117.28
1792,2018.0,5000.0,First Owner,Individual,5.0,Petrol,Manual,22.0,1197.0,81.8,6663.44
1793,2016.0,25000.0,First Owner,Individual,5.0,Petrol,Manual,17.01,1591.0,121.3,9074.39
1794,2015.0,80000.0,Second Owner,Individual,5.0,Diesel,Manual,19.67,1582.0,126.2,
1795,2011.0,88000.0,Third Owner,Individual,5.0,Diesel,Manual,16.52,1991.0,123.7,3513.45
1796,2014.0,217000.0,Second Owner,Individual,7.0,Diesel,Manual,12.99,2494.0,100.6,10540.33
1798,2017.0,43000.0,First Owner,Individual,5.0,Petrol,Manual,20.85,1197.0,83.14,6057.67
1799,2014.0,77000.0,Second Owner,Individual,5.0,Diesel,Automatic,21.66,1498.0,103.6,4846.14
1800,2016.0,30000.0,First Owner,Individual,5.0,Petrol,Manual,25.17,799.0,53.3,3149.99
1801,2015.0,40000.0,Second Owner,Individual,5.0,Petrol,Manual,22.74,796.0,1261.1,2665.37
1802,2014.0,139000.0,Second Owner,Individual,8.0,Diesel,Manual,18.2,1248.0,73.8,2301.91
1803,2016.0,80000.0,First Owner,Individual,5.0,Petrol,Manual,18.9,1197.0,82.0,4846.14
1804,2014.0,76000.0,Second Owner,Individual,5.0,Diesel,Manual,25.44,936.0,56.3,2059.61
1805,2019.0,3500.0,First Owner,Individual,5.0,Petrol,Manual,18.6,1197.0,81.86,7874.97
1806,2007.0,62000.0,Second Owner,Individual,4.0,Petrol,Manual,16.1,796.0,37.0,726.92
1807,2007.0,110000.0,Second Owner,Individual,7.0,Petrol,Manual,12.0,2092.0,127.0,3634.6
1808,2012.0,40000.0,Second Owner,Individual,5.0,Petrol,Manual,16.2,995.0,62.1,1514.42
1810,2012.0,1500000.0,First Owner,Individual,7.0,Diesel,Manual,15.1,2179.0,140.0,6057.67
1811,2011.0,,Third Owner,Individual,5.0,Petrol,Manual,,796.0,46.3,2059.61
1812,2012.0,77000.0,Second Owner,Individual,5.0,Diesel,Manual,19.3,1248.0,73.9,3755.75
1813,2011.0,110000.0,Second Owner,Individual,5.0,Petrol,Manual,18.0,995.0,62.0,1574.99
1814,2016.0,20000.0,First Owner,Individual,5.0,Petrol,Manual,20.51,998.0,1856.75,
1816,2005.0,120005.0,Second Owner,Individual,5.0,Diesel,Automatic,11.0,2987.0,198.5,450552.65
1817,2012.0,16830.0,First Owner,Individual,5.0,Petrol,Manual,20.2,,,3149.99
1818,2013.0,70000.0,First Owner,Individual,9.0,Diesel,Manual,15.96,2523.0,63.0,6057.67
1819,2017.0,38000.0,First Owner,Individual,5.0,Petrol,Manual,23.01,999.0,67.0,3937.48
1820,2013.0,80000.0,First Owner,Individual,9.0,Diesel,Manual,15.96,2523.0,63.0,4846.14
1821,2018.0,50000.0,First Owner,Individual,7.0,Diesel,Manual,14.24,2755.0,174.5,
1822,2007.0,50000.0,First Owner,Individual,5.0,Diesel,Manual,17.88,1396.0,52.8,2423.07
1823,2013.0,52000.0,First Owner,Individual,7.0,Diesel,Manual,17.21,1493.0,100.0,5451.9
1824,2012.0,50000.0,First Owner,Individual,5.0,Diesel,Manual,17.0,1405.0,70.0,2786.52
1825,2016.0,30000.0,First Owner,Individual,5.0,Petrol,Manual,21.1,814.0,55.2,4119.21
1826,2014.0,103000.0,First Owner,Individual,7.0,Diesel,Manual,15.96,2523.0,62.1,6663.44
1827,2011.0,93468.0,Second Owner,Individual,7.0,Diesel,Automatic,11.4,2953.0,153.86,11812.45
1828,2019.0,20000.0,First Owner,Individual,5.0,Diesel,Automatic,18.0,1969.0,190.0,46038.28
1829,2010.0,80000.0,Second Owner,Individual,5.0,Petrol,Manual,14.0,1595.0,102.0,2725.95
1830,,12000.0,,Individual,7.0,Diesel,Automatic,10.91,3198.0,197.0,39374.85
1831,2013.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,25.0,1396.0,69.0,3392.29
1832,2019.0,4500.0,First Owner,Individual,5.0,Petrol,Manual,19.5,1199.0,88.76,8480.74
1833,2012.0,35000.0,First Owner,Individual,5.0,Diesel,Manual,23.03,1396.0,69.0,3137.87
1834,2018.0,60000.0,First Owner,Individual,7.0,Diesel,Automatic,15.04,2755.0,1832.91,38769.08
1835,2018.0,30000.0,First Owner,Individual,7.0,Diesel,Manual,16.0,1997.0,140.0,16961.47
1836,2015.0,40000.0,First Owner,Individual,5.0,Petrol,Automatic,17.01,1499.0,110.4,5039.98
1837,2011.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,19.0,1248.0,90.0,3028.83
1838,2010.0,120000.0,First Owner,Individual,5.0,Diesel,Manual,21.12,1248.0,88.8,2544.22
1839,2008.0,120000.0,Second Owner,Individual,8.0,Diesel,Manual,12.05,2179.0,120.0,3513.45
1840,2012.0,90000.0,First Owner,Individual,5.0,Diesel,Manual,23.03,1396.0,69.0,2665.37
1841,2012.0,35000.0,Second Owner,Individual,5.0,Diesel,Manual,23.03,1396.0,69.0,2980.37
1842,2018.0,30000.0,First Owner,Individual,8.0,Petrol,Manual,16.8,796.0,34.2,3149.99
1843,2018.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,21.38,,,12721.1
1844,2012.0,60000.0,First Owner,Individual,5.0,Diesel,Manual,21.02,1248.0,88.76,3513.45
1846,2018.0,6000.0,First Owner,Individual,5.0,Petrol,Manual,18.6,,,8480.74
1847,,20000.0,,Individual,5.0,Petrol,Manual,20.4,1197.0,81.8,6663.44
1848,2017.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,19.09,1405.0,69.01,5451.9
1849,2016.0,65000.0,First Owner,Individual,5.0,Petrol,Manual,17.8,1497.0,117.3,9365.16
1850,2017.0,25000.0,First Owner,Individual,5.0,Petrol,Manual,23.84,1199.0,84.0,5451.9
1851,2019.0,10000.0,First Owner,Individual,5.0,Petrol,Manual,15.37,1196.0,73.0,4967.28
1852,2003.0,35000.0,Fourth & Above Owner,Individual,4.0,Petrol,Manual,16.1,796.0,37.0,545.19
1853,2014.0,80000.0,Second Owner,Individual,5.0,Petrol,Automatic,11.07,2496.0,179.5,7269.2
1854,2010.0,63000.0,First Owner,Individual,5.0,Petrol,Manual,18.6,1199.0,79.4,3028.83
1855,2008.0,100000.0,First Owner,Individual,5.0,Diesel,Manual,16.8,1405.0,62.0,848.07
1856,2019.0,1303.0,First Owner,Dealer,5.0,Petrol,Manual,17.8,,,8359.58
1857,2018.0,31800.0,First Owner,Dealer,5.0,Diesel,Automatic,17.01,1968.0,188.0,48158.47
1858,2019.0,20000.0,First Owner,Dealer,5.0,Petrol,Automatic,22.37,2487.0,214.56,62393.99
1859,,45000.0,,Dealer,5.0,Diesel,Automatic,19.33,1999.0,177.0,38769.08
1860,2017.0,17000.0,First Owner,Individual,5.0,Petrol,Automatic,9.5,3604.0,280.0,49672.89
1861,,4295.0,,Trustmark Dealer,5.0,Petrol,Manual,17.1,1496.0,105.5,12115.34
1862,2018.0,5229.0,First Owner,Trustmark Dealer,5.0,Petrol,Manual,17.1,1496.0,105.5,12115.34
1863,2016.0,68089.0,First Owner,Trustmark Dealer,5.0,Petrol,Automatic,19.16,2494.0,157.7,24230.68
1864,2018.0,23712.0,First Owner,Trustmark Dealer,5.0,Diesel,Manual,28.09,1248.0,88.5,11206.69
1865,2016.0,56494.0,First Owner,Trustmark Dealer,5.0,Petrol,Manual,18.2,1199.0,88.7,6663.44
1866,2018.0,16589.0,First Owner,Trustmark Dealer,5.0,Petrol,Manual,20.51,998.0,67.04,5209.6
1867,2013.0,79328.0,Second Owner,Trustmark Dealer,7.0,Diesel,Manual,12.99,2494.0,100.6,9086.5
1868,2016.0,53201.0,Second Owner,Trustmark Dealer,5.0,Petrol,Manual,17.8,1497.0,117.3,8177.85
1869,2017.0,25272.0,First Owner,Trustmark Dealer,5.0,Petrol,Manual,21.01,1197.0,81.8,6905.74
1870,2017.0,53619.0,First Owner,Trustmark Dealer,5.0,Diesel,Manual,24.3,1248.0,88.5,10298.04
1871,2019.0,7500.0,First Owner,Dealer,5.0,Diesel,Automatic,16.78,1995.0,190.0,65422.83
1872,2019.0,8500.0,First Owner,Dealer,5.0,Diesel,Automatic,16.78,1995.0,1942.98,66634.36
1873,2019.0,7032.0,First Owner,Trustmark Dealer,5.0,Petrol,Automatic,19.0,1199.0,88.76,9437.85
1874,2018.0,6001.0,First Owner,Dealer,5.0,Petrol,Manual,15.9,1496.0,120.69,7753.82
1875,2013.0,80000.0,First Owner,Individual,5.0,Diesel,Manual,19.09,,,3028.83
1876,2018.0,12000.0,First Owner,Individual,5.0,Diesel,Manual,19.6,1461.0,108.45,15144.17
1877,2017.0,25000.0,First Owner,Individual,5.0,Petrol,Manual,17.0,1497.0,121.31,10770.54
1878,2017.0,40000.0,Second Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,9086.5
1879,2010.0,130000.0,Third Owner,Individual,5.0,Diesel,Manual,17.8,1248.0,75.0,3876.91
1880,2011.0,202000.0,First Owner,Individual,5.0,Diesel,Manual,17.67,,,7269.2
1881,2018.0,40000.0,First Owner,Individual,5.0,Diesel,Manual,28.09,1248.0,88.5,12115.34
1883,2008.0,120000.0,Second Owner,Individual,5.0,Petrol,Manual,17.7,1497.0,78.0,
1884,2015.0,60000.0,First Owner,Individual,5.0,Diesel,Manual,26.59,1248.0,74.0,7269.2
1885,2009.0,60000.0,First Owner,Individual,5.0,Petrol,Manual,19.0,998.0,67.1,1999.03
1886,2004.0,60000.0,Second Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,1429.61
1887,2016.0,78000.0,First Owner,Individual,5.0,Diesel,Manual,27.39,1248.0,74.0,8480.74
1888,2013.0,80000.0,Second Owner,Individual,5.0,Diesel,Manual,20.46,1461.0,83.8,7087.47
1889,2006.0,120000.0,Fourth & Above Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,1453.84
1890,2003.0,90000.0,Fourth & Above Owner,Individual,4.0,Petrol,Manual,16.1,796.0,37.0,787.5
1891,,,,Individual,5.0,Petrol,Manual,,796.0,46.3,1817.3
1892,2009.0,70000.0,Fourth & Above Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,1817.3
1893,2004.0,160000.0,Third Owner,Individual,5.0,Diesel,Manual,13.1,1493.0,82.0,2059.61
1894,2006.0,120000.0,Third Owner,Individual,8.0,Diesel,Manual,10.5,2179.0,120.0,3028.83
1895,2005.0,100000.0,Third Owner,Individual,5.0,Diesel,Manual,13.1,1493.0,82.0,1211.53
1896,2013.0,60000.0,Second Owner,Individual,7.0,Diesel,Manual,20.77,31.0,88.76,7257.09
1897,2010.0,135000.0,Third Owner,Individual,5.0,Diesel,Manual,18.3,1991.0,147.9,3028.83
1899,2013.0,75000.0,Second Owner,Individual,5.0,Diesel,Manual,22.07,5.0,1886.65,5330.75
1900,2005.0,185000.0,Second Owner,Individual,7.0,Diesel,Manual,11.4,2494.0,100.6,3634.6
1902,2011.0,150000.0,Second Owner,Individual,8.0,Diesel,Automatic,11.79,2179.0,120.0,6057.67
1903,2016.0,55000.0,First Owner,Individual,5.0,Diesel,Manual,26.59,,,7996.12
1904,2012.0,90000.0,Second Owner,Individual,5.0,Petrol,Manual,15.3,1596.0,99.6,
1905,2018.0,35000.0,First Owner,Individual,5.0,Petrol,Manual,23.01,999.0,67.0,
1906,2015.0,120000.0,Second Owner,Individual,7.0,Diesel,Manual,12.55,2982.0,168.5,22873.76
1907,2011.0,100000.0,Second Owner,Individual,5.0,LPG,Manual,18.83,1086.0,62.1,3028.83
1908,2009.0,40000.0,Third Owner,Individual,5.0,Petrol,Automatic,12.9,1799.0,130.0,71.82
1909,2010.0,100000.0,First Owner,Individual,8.0,Diesel,Manual,13.0,2489.0,95.0,3634.6
1910,2016.0,120000.0,First Owner,Individual,5.0,Diesel,Manual,14.1,2179.0,147.94,10903.8
1911,2014.0,60000.0,First Owner,Individual,5.0,Petrol,Manual,19.0,998.0,1416.61,2301.91
1912,2019.0,2000.0,First Owner,Individual,9.0,Diesel,Manual,15.96,2523.0,63.0,9692.27
1913,2012.0,100000.0,First Owner,Individual,8.0,Diesel,Manual,14.0,2523.0,75.0,5451.9
1914,2015.0,110000.0,First Owner,Individual,7.0,Diesel,Manual,14.95,2489.0,93.7,4846.14
1915,2009.0,90000.0,Second Owner,Individual,7.0,Diesel,Manual,13.93,,,1817.3
1916,2011.0,,First Owner,Individual,5.0,Diesel,Manual,,1396.0,70.0,2423.07
1917,2013.0,177000.0,First Owner,Individual,7.0,Diesel,Manual,15.1,2179.0,140.0,7269.2
1918,2010.0,60000.0,First Owner,Individual,5.0,Diesel,Manual,18.0,1248.0,75.0,2120.18
1919,2008.0,205000.0,Second Owner,Individual,5.0,Diesel,Manual,19.09,1396.0,69.0,1199.42
1920,2008.0,70000.0,Second Owner,Individual,5.0,Petrol,Manual,20.36,1197.0,78.9,2604.8
1922,2013.0,126000.0,Second Owner,Individual,5.0,Diesel,Manual,19.01,10741.0,108.45,6299.98
1923,2016.0,120000.0,Second Owner,Individual,7.0,Diesel,Automatic,10.91,,,27622.97
1924,2015.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,19.1,1405.0,70.0,3452.87
1925,2017.0,,First Owner,Individual,7.0,Diesel,Manual,,1493.0,100.0,7996.12
1926,2004.0,110000.0,Third Owner,Individual,4.0,Petrol,Manual,16.1,796.0,37.0,381.68
1928,2012.0,70000.0,Second Owner,Individual,5.0,Diesel,Manual,21.64,1461.0,84.8,3574.02
1929,2015.0,80000.0,Second Owner,Individual,5.0,Diesel,Manual,20.45,1461.0,83.8,8480.74
1930,2017.0,45000.0,First Owner,Individual,7.0,Diesel,Manual,15.4,,,13326.87
